"","region_id","household_prop","residence","country"
"1",1,0.554538849120357,"Rural","Niger"
"2",1,0.445461150879643,"Urban","Niger"
"3",2,0.861054113052601,"Rural","Niger"
"4",2,0.138945886947399,"Urban","Niger"
"5",3,0.902509449648551,"Rural","Niger"
"6",3,0.0974905503514489,"Urban","Niger"
"7",4,0.898278181217614,"Rural","Niger"
"8",4,0.101721818782386,"Urban","Niger"
"9",5,0.890202439052783,"Rural","Niger"
"10",5,0.109797560947217,"Urban","Niger"
"11",6,0.950468980024217,"Rural","Niger"
"12",6,0.0495310199757834,"Urban","Niger"
"13",7,0.908851703666679,"Rural","Niger"
"14",7,0.091148296333321,"Urban","Niger"
"15",8,0,"Rural","Niger"
"16",8,1,"Urban","Niger"
