"","region_id","children_prop","age_group","children_perc","residence","child_age_dummy","residence_binary","total_in_group","total_wt","children_across_regions","country"
"1",1,0,"Older 24 months",0,"Rural",1,0,NA,1170.026825,NA,"Togo"
"2",1,0,"Younger 24 months",0,"Rural",0,0,NA,690.490193,NA,"Togo"
"3",1,1,"Older 24 months",100,"Urban",1,1,641.364003,617.603682,15.7550072751987,"Togo"
"4",1,1,"Younger 24 months",100,"Urban",0,1,641.364003,377.398196,25.7827159913067,"Togo"
"5",2,0.844982395269634,"Older 24 months",84.4982395269634,"Rural",1,0,426.734417,1170.026825,4.67555765015373,"Togo"
"6",2,0.832890675312127,"Younger 24 months",83.2890675312127,"Rural",0,0,426.734417,690.490193,7.80929914959179,"Togo"
"7",2,0.155017604730366,"Older 24 months",15.5017604730366,"Urban",1,1,80.986331,617.603682,0.30839460578327,"Togo"
"8",2,0.167109324687873,"Younger 24 months",16.7109324687873,"Urban",0,1,80.986331,377.398196,0.544047090158586,"Togo"
"9",3,0.833873737818712,"Older 24 months",83.3873737818712,"Rural",1,0,591.779768,1170.026825,6.39865204369723,"Togo"
"10",3,0.858756335948204,"Younger 24 months",85.8756335948204,"Rural",0,0,591.779768,690.490193,11.1659699883412,"Togo"
"11",3,0.166126262181288,"Older 24 months",16.6126262181288,"Urban",1,1,110.098553,617.603682,0.449297427133062,"Togo"
"12",3,0.141243664051796,"Younger 24 months",14.1243664051796,"Urban",0,1,110.098553,377.398196,0.625136230801148,"Togo"
"13",4,0.792764737348631,"Older 24 months",79.2764737348631,"Rural",1,0,221.396488,1170.026825,2.27584738806532,"Togo"
"14",4,0.75127263924292,"Younger 24 months",75.127263924292,"Rural",0,0,221.396488,690.490193,3.65455656729909,"Togo"
"15",4,0.207235262651369,"Older 24 months",20.7235262651369,"Urban",1,1,63.893058,617.603682,0.325260523919722,"Togo"
"16",4,0.24872736075708,"Younger 24 months",24.872736075708,"Urban",0,1,63.893058,377.398196,0.638853560502202,"Togo"
"17",5,0.828138433581084,"Older 24 months",82.8138433581084,"Rural",1,0,279.529756,1170.026825,3.00164322281722,"Togo"
"18",5,0.868373137558226,"Younger 24 months",86.8373137558226,"Rural",0,0,279.529756,690.490193,5.33335895741619,"Togo"
"19",5,0.171861566418916,"Older 24 months",17.1861566418916,"Urban",1,1,52.024661,617.603682,0.219635254496036,"Togo"
"20",5,0.131626862441774,"Younger 24 months",13.1626862441774,"Urban",0,1,52.024661,377.398196,0.275282036006521,"Togo"
"21",6,0.891435554019994,"Older 24 months",89.1435554019994,"Rural",1,0,341.076589,1170.026825,3.94248406899759,"Togo"
"22",6,0.857732882044536,"Younger 24 months",85.7732882044536,"Rural",0,0,341.076589,690.490193,6.42791846410918,"Togo"
"23",6,0.108564445980006,"Older 24 months",10.8564445980006,"Urban",1,1,46.635272,617.603682,0.124370150945527,"Togo"
"24",6,0.142267117955464,"Younger 24 months",14.2267117955464,"Urban",0,1,46.635272,377.398196,0.266712353259972,"Togo"
